Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
83;VVPP;ADJD;sammeln;16;NZZ_1998_01_16_a241_seg3_s1;14;Full|Psp;In keiner anderen Pferdesportdisziplin sind in den vergangenen Jahren für die Schweiz so fleissig Medaillen gesammelt worden wie im Voltige .;prozess;agensorientiert;done;unknown;vergleich;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
84;VVPP;ADJD;abschreiben;20;NZZ_1996_08_31_a210_seg11_s8;19;Full|Psp;Ja, bei Denis Diderot hatte sogar der Plagiator Brecht, dessen Erben alle Plagiatoren Brechts verfolgen, fleissig abgeschrieben .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
85;VVFIN;ADJD;bauen;20;NZZ_1993_12_04_a117_seg2_s178;18;Full|3|Pl|Pres|Ind;Seine Arbeit hier will er als rein humanitären Beitrag verstanden wissen, auch wenn die islamischen Organisationen fleissig Moscheen bauen, zahlreiche Studenten zur Ausbildung in arabische Länder schicken und in Tirana die ersten Tschadors auftauchen .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
86;VVPP;ADJD;ausbauen;50;NZZ_1998_07_28_a15_seg11_s5;48;Full|Psp;Ein gar nicht museales Schicksal war hingegen der Waffenindustrie beschieden : sie wurde nach dem Sieg der Kommunisten über die Kuomintang im offenen Bürgerkrieg, der kurz nach der Niederlage und Vertreibung der Japaner folgte, von den neuen Herren übernommen und in den letzten Jahrzehnten noch fleissig weiter ausgebaut - teilweise in zusätzlich neugegrabenen und als atombombensicher geltenden Höhlen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
87;VVPP;ADJD;nutzen;22;NZZ_1998_08_19_a65_seg8_s13;18;Full|Psp;Die Fahrt von Wien nach Bratislava dauerte zwei Stunden und vierzig Minuten, und die Eisenbahn wurde fleissig in beide Richtungen genutzt, bis deutsche Truppen ein halbes Jahr nach dem Anschluss Österreichs den am rechten Ufer der Donau gelegenen Ort Petrzalka ( Engerau ) besetzten und den Grenzübergang Berg/Kittsee schlossen .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
88;VVFIN;ADJD;recherchieren;17;NZZ_1995_12_09_a122_seg6_s4;16;Full|Psp;McPhee, der aus der Schule des Neuen Journalismus kommt, hat in Bibliotheken ebenso fleissig recherchiert wie auf Orangenplantagen und in den Fabriken, die das Konzentrat herstellen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
89;VVPP;ADJD;benutzen;11;NZZ_1994_09_14_a42_seg11_s5;10;Full|Psp;Dass diese Methode zur Einschränkung von Einfuhren chinesischer Firmen fleissig benutzt wurde, darauf weisen einerseits die im Lauf des Jahres um 10 Mrd. $ auf rund 31 Mrd. $ gewachsenen Devisenreserven Chinas hin .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
90;VVFIN;ADJD;arbeiten;21;NZZ_1998_11_13_a28_seg10_s3;20;Full|3|Sg|Pres|Ind;Dass es sich bei diesen Szenarien um Prophezeiungen handelt, an deren Erfüllung die Rechte beispielsweise durch ihren Parlamentsboykott fleissig arbeitet, stört jene, die so argumentieren, kaum .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
91;VVFIN;ADJD;bedienen;22;NZZ_1997_03_13_a35_seg11_s3;21;Full|-2;Dies um so mehr, als sich die Oppositionsparteien an Ort selbstverständlich dieses Bildmaterials im Kampf gegen die historische Mehrheit fleissig bedienen .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
92;VVFIN;ADJD;sammeln;18;NZZ_1994_10_06_a165_seg3_s5;16;Full|3|Sg|Past|Ind;Während der Gastklub bisher schon die ganze Saison mit verschiedenen Spielern um die 20 Jahre fleissig Punkte sammelte, wurden die Zürcher von wahrem Verletzungspech gebeutelt .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
